root,form,frequency,translation
34;37;37,IV,1,to be unjust
34;39;31,I,25,to perceive;to realize
34;39;31,IV,2,to perceive;to be aware
34;39;44,VIII,1,to flare
34;3A;41,I,1,to impassion
34;3A;44,I,1,to keep busy
34;41;39,I,5,to intercede
34;41;42,IV,2,to fear;to be afraid
34;41;4A,I,2,to heal;to cure
34;42;42,I,2,to make difficult;to cleave
34;42;42,III,7,to oppose
34;42;42,V,3,to split
34;42;42,VII,5,to split
34;42;48,I,4,to suffer;to be wretched;to be distressed
34;43;31,I,46,to be grateful;to give thanks
34;43;48,I,1,to complain
34;43;48,VIII,1,to complain
34;45;2A,IV,1,to rejoice
34;45;32,VIII,1,to shrink with aversion
34;45;44,VIII,2,to contain
34;47;2F,I,44,to testify;to bear witness
34;47;2F,IV,7,to make witness
34;47;2F,X,2,to call;to witness
34;47;48,VIII,8,to desire
34;48;31,III,1,to consult
34;48;31,IV,1,to point
34;48;4A,I,1,to scald
34;4A;27,I,236,to will;to wish
34;4A;39,I,1,to spread
35;28;28,I,4,to pour
35;28;2D,II,1,to seize in the morning
35;28;2D,IV,28,to become
35;28;31,I,58,to be patient
35;28;31,III,1,to be patient
35;28;31,VIII,3,to be patient;to be steadfast
35;28;48,I,1,to incline
35;2D;28,I,1,to protect
35;2D;28,III,2,to keep company
35;2F;2F,I,37,to turn away;to avert;to hinder
35;2F;2F,II,1,to hinder
35;2F;31,I,1,to proceed
35;2F;31,IV,1,to take away
35;2F;39,I,1,to proclaim
35;2F;39,II,1,to have headache
35;2F;39,V,1,to be divided
35;2F;41,I,4,to turn away
35;2F;42,I,15,to be truthful;to fulfill
35;2F;42,II,10,to accept truth;to admit;to confirm;to believe
35;2F;42,V,6,to give charity
35;2F;4A,V,1,to give attention
35;31;2E,VIII,1,to cry
35;31;2E,X,1,to cry for help
35;31;31,IV,4,to persist
35;31;41,I,14,to divert;to turn away
35;31;41,II,10,to explain
35;31;41,VII,1,to turn away
35;31;45,I,1,to pluck
35;39;2F,I,1,to ascend
35;39;2F,IV,1,to run uphill
35;39;2F,V,1,to climb
35;39;31,II,1,to turn
35;39;42,I,2,to faint;to fall dead
35;3A;48,I,2,to incline
35;41;2D,I,6,to overlook
35;41;48,IV,2,to choose
35;41;48,VIII,12,to choose
35;43;43,I,1,to strike
35;44;28,I,2,to crucify
35;44;28,II,4,to crucify
35;44;2D,I,2,to be righteous
35;44;2D,IV,28,to correct;to reform;to improve;to make peace
35;44;48,II,12,to pray;to bless
35;44;4A,I,13,to burn
35;44;4A,II,1,to burn
35;44;4A,IV,4,to burn
35;44;4A,VIII,2,to warm
35;45;45,I,2,to become deaf
35;45;45,IV,1,to make deaf
35;46;39,I,15,to make;to construct;to do
35;46;39,VIII,1,to choose
35;47;31,I,1,to melt
35;48;28,IV,64,to strike;to befall;to bestow
35;48;31,I,1,to incline
35;48;31,II,4,to form;to fashion;to shape
35;48;45,I,2,to fast
35;4A;2F,VIII,1,to hunt
35;4A;31,I,1,to reach
36;2D;43,I,7,to laugh
36;2D;43,IV,1,to make laugh
36;2D;48,I,1,to expose
36;31;28,I,55,to strike;to set forth
36;31;31,I,19,to harm
36;31;31,III,3,to suffer;to be harmed
36;31;31,VIII,7,to force;to compell
36;31;39,I,1,to humble
36;31;39,V,3,to humble
36;39;41,I,2,to weaken
36;39;41,III,9,to double;to multiply
36;39;41,X,8,to be oppressed
36;44;44,I,53,to go astray;to err;to lose
36;44;44,IV,64,to let go astray;to mislead
36;45;45,I,2,to draw (near)
36;47;27,III,1,to imitate
36;48;27,IV,3,to light;to flash;to glow
36;4A;39,IV,10,to let go waste;to neglect
36;4A;41,II,1,to offer hospitality
36;4A;42,I,7,to straiten
36;4A;42,II,1,to distress
37;28;39,I,11,to seal
37;2D;48,I,1,to spread
37;31;2D,I,1,to cast
37;31;2F,I,3,to send away;to drive away
37;39;45,I,5,to eat;to taste;to feed
37;39;45,IV,13,to feed
37;39;45,X,1,to ask for food
37;39;46,I,1,to defame
37;3A;4A,I,12,to transgress;to overflow
37;3A;4A,IV,1,to make transgress
37;41;27,IV,3,to extinguish;to put out
37;41;42,I,3,to begin
37;44;28,I,1,to seek
37;44;39,I,2,to rise
37;44;39,IV,1,to inform
37;44;39,VIII,7,to look
37;44;42,II,10,to divorce
37;44;42,VII,9,to set out;to proceeed;to go forth
37;45;2B,I,2,to;touch
37;45;33,I,5,to blind;to destory;to obliterate
37;45;39,I,8,to hope;to desire
37;45;46,XII,9,to be satisfied;to be secure;to be content
37;47;31,I,1,to purify
37;47;31,II,9,to purify
37;47;31,V,5,to cleanse;to purify
37;48;39,I,2,to obey
37;48;39,II,1,to prompt
37;48;39,IV,72,to obey
37;48;39,V,2,to volunteer
37;48;39,X,42,to be able;to;to be capable
37;48;41,I,8,to circulate;to go around
37;48;41,V,2,to walk;to circumambulate
37;48;42,II,1,to encircle the neck
37;48;42,IV,1,to afford
37;48;44,I,3,to prolong;to grow long
37;48;44,VI,1,to prolong
37;48;4A,I,1,to fold
37;4A;28,I,3,to seem suitable;to remit;to do well
37;4A;31,I,1,to fly
37;4A;31,V,3,to ascribe an evil omen
38;41;31,IV,1,to give victory
38;44;44,I,9,to continue;to remain
38;44;44,II,2,to shade
38;44;45,I,110,to oppress;to wrong
38;44;45,IV,1,to darken
38;45;27,I,1,to suffer from thirst
38;46;46,I,47,to think;to assume;to guess
38;47;31,I,10,to appear;to become manifest
38;47;31,III,6,to support;to back
38;47;31,IV,8,to make apparent;to reveal
38;47;31,VI,2,to support
39;28;27,I,1,to care
39;28;2B,I,1,to be amused
39;28;2F,I,122,to worship
39;28;2F,II,1,to enslave
